text_name,Play
1H4.txt,"Henry IV, Part I"
1H6.txt,"Henry VI, Part I"
2H4.txt,"Henry IV, Part II"
2H6.txt,"Henry VI, Part II"
3H6.txt,"Henry VI, Part III"
Ado.txt,Much Ado about Nothing
Ant.txt,Antony and Cleopatra
AWW.txt,All's Well That Ends Well
AYL.txt,As You Like It
Cor.txt,Coriolanus
Cym.txt,Cymbeline
Err.txt,Comedy of Errors
H5.txt,Henry V
H8.txt,Henry VIII
Ham.txt,Hamlet
JC.txt,Julius Caesar
Jn.txt,King John
LLL.txt,Love's Labour's Lost
Lr.txt,King Lear
Mac.txt,Macbeth
MM.txt,Measure for Measure
MND.txt,Midsummer Night's Dream
MV.txt,Merchant of Venice
Oth.txt,Othello
Per.txt,Pericles
R2.txt,Richard II
R3.txt,Richard III
Rom.txt,Romeo and Juliet
Shr.txt,Taming of the Shrew
TGV.txt,Two Gentlemen of Verona
Tim.txt,Timon of Athens
Tit.txt,Titus Andronicus
Tmp.txt,Tempest
TN.txt,Twelfth Night
TNK.txt,Two Noble Kinsmen
Tro.txt,Troilus and Cressida
Wiv.txt,Merry Wives of Windsor
WT.txt,Winter's Tale
